,Unnamed: 0,id,day,activity,screen,valence,arousal,office,game,call,sms,social,entertainment,communication,weather,mood
140,146,05,15,0.069288,0.1975343885204834,1.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.087411,0.531416,0.0,6.8
141,147,05,16,0.077363,0.3386650610564813,1.0,-0.4,0.0,0.0,0.1538461538461538,0.0,0.001414,0.208012,0.844643,0.0,6.75
142,148,05,17,0.066859,0.3969951128062408,0.75,-0.25,0.0,0.0,0.0769230769230769,0.0,0.0,0.069669,0.803624,0.0,6.75
143,149,05,18,0.085125,0.197833263034955,0.0,0.25,0.0,0.0,0.0769230769230769,0.0,0.0,0.802642,0.590764,0.0,7.0
144,150,05,19,0.153619,0.6275544207657596,0.75,0.25,0.0,0.0,0.0769230769230769,0.0,0.000906,0.117793,0.787675,0.0,7.2
145,151,05,20,0.013347,0.2673901557010345,1.0,0.8,0.0,0.0,0.0769230769230769,0.0,0.076475,0.261149,0.624688,0.0,7.0
146,152,05,21,0.094615,0.4662551945093954,0.6,0.2,0.003596,0.0,0.0,0.0,0.012348,0.093903,0.813842,0.0,7.0
147,153,05,22,0.049299,0.7368522593069613,1.0,-1.4,0.0,0.0,0.0,0.3333333333333333,0.082605,0.057261,0.760202,0.0,7.5
148,154,05,23,0.114127,0.1865472185374693,1.0,0.333333,0.0,0.0,1.0,0.0,0.084504,0.085919,0.709876,0.0,6.4
149,155,05,24,0.101723,0.3212125671036149,0.4,-1.2,0.0,0.0,0.0,0.0,0.281912,0.096252,0.37027,0.0,7.0
150,156,05,25,0.057297,0.5984066958048213,0.8,0.2,0.0,0.0,0.0,0.0,0.207139,0.079877,0.569831,0.0,7.2
151,157,05,26,0.105649,0.1411865429441398,0.8,-0.6,0.0,0.0,0.0,0.0,0.259975,0.132145,0.59864,0.0,6.6
152,158,05,27,0.115038,0.4335903368801144,0.6,0.4,0.0,0.0,0.0,0.0,0.152596,0.080055,0.747097,0.0,7.5
153,159,05,28,0.115167,0.4725929055691919,1.0,0.25,0.0,0.0,0.0769230769230769,0.1111111111111111,0.148037,0.138787,0.700247,0.0,7.2
154,160,05,29,0.060887,0.1937582210088752,0.8,-0.8,0.0,0.0,0.1538461538461538,0.0,0.37043,0.017936,0.467157,0.0,7.2
170,179,06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.0,0.0,0.0,0.0,7.0
171,180,06,3,0.043432,0.1574593095795748,0.0,-1.0,0.0,0.0,0.3,0.0,0.116534,0.427938,0.438757,0.0,7.0
172,181,06,4,0.137709,0.4852474120718865,0.6,-0.2,0.035827,0.0,0.0,0.0,0.113164,0.388106,0.50854,0.0,8.0
173,182,06,5,0.135563,0.4954649675781972,1.5,0.5,0.004522,0.0,0.2,0.0,0.398307,0.24719,0.409818,0.0,7.0
174,183,06,6,0.132329,0.5127050091021252,0.25,0.25,0.0,0.0,0.1,0.0,0.132425,0.300381,0.495379,0.0,7.6
175,184,06,7,0.171471,0.434955200377045,0.8,-0.2,0.0061,0.0,0.0,0.25,0.493185,0.288079,0.517878,0.0,7.8
176,185,06,8,0.111581,0.2452757593215019,1.0,0.0,0.0,0.0,0.0,0.0,0.321853,0.201313,0.481551,0.0,7.8
177,186,06,9,0.211298,0.5608271648931586,0.8,0.0,0.0,0.267115,0.1,1.0,0.231941,0.230351,0.061547,0.000544,7.0
178,187,06,10,0.160605,0.4710945901195347,0.4,-0.2,0.003667,0.0,0.1,0.0,0.359779,0.321992,0.274654,0.0,7.75
179,188,06,11,0.225854,0.5254933851543707,0.75,0.0,0.0,0.103563,0.3,0.0,0.265697,0.09265,0.481995,0.0,6.8
180,189,06,12,0.162553,0.5765076515420974,0.4,-0.6,0.018185,0.0,0.4,0.0,0.309872,0.154461,0.483008,0.0,7.2
181,190,06,13,0.209574,0.4476566937790345,0.4,0.0,0.0,0.001266,0.2,0.0,0.263027,0.184638,0.546332,0.0,7.0
182,191,06,14,0.149524,0.5866874155711355,0.2,-0.4,0.0,0.175133,0.0,0.0,0.317048,0.146234,0.383074,0.0,7.0
183,192,06,15,0.292274,0.2572319710003771,0.8,-0.4,0.0,0.0,0.2,0.0,0.643635,0.136535,0.340521,0.0,7.0
184,193,06,16,0.020426,0.332749324107002,0.4,-1.0,0.0,0.0,0.1,0.0,0.574006,0.100586,0.1673,0.0,6.2
